 website,product price,discount,product name,product rate,product link
jumia,"5,200 DA",no discount,"Anker      Soundcore  R50i NC , Ecouteurs Sans Fil Bluetooth , pilotes de 10 mm avec basses puissantes, Bluetooth 5.3, autonomie de 45 heures, étanchéité IP54-Sweatguard M, appels clairs AI avec 4 micros, 22 égaliseurs prédéfinis via l'application - Noir",4.4 out of 5,https://www.jumia.com.dz/anker-soundcore-r50i-nc-ecouteurs-sans-fil-bluetooth-pilotes-de-10-mm-avec-basses-puissantes-bluetooth-5.3-autonomie-de-45-heures-etancheite-ip54-sweatguard-m-appels-clairs-ai-avec-4-micros-22-egaliseurs-predefinis-via-lapplication-noir-598882.html
jumia,"2,650 DA",no discount,Hoco EQ16 Shine  ANC + ENC   Ecouteurs Sans Fil Bluetooth TWS - Noir,4.4 out of 5,https://www.jumia.com.dz/hoco-eq16-shine-anc-enc-ecouteurs-sans-fil-bluetooth-tws-noir-588985.html
jumia,"2,100 DA",no discount,Hoco EQ6 - Ecouteurs Sans Fil Bluetooth 5.3 - Affichage LED & 7H de Lecture Non-Stop - Violet,4.6 out of 5,https://www.jumia.com.dz/hoco-eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-violet-565188.html
jumia,"6,500 DA",no discount,XIAOMI Smart Watch Kieslect K11  PRO,4.4 out of 5,https://www.jumia.com.dz/smart-watch-kieslect-k11-pro-xiaomi-mpg32586.html
jumia,950 DA,no discount,"Hoco Chargeur mural ""C80A"" PD20W QC3.0 avec câble Type-C vers Type Iphone",4.5 out of 5,https://www.jumia.com.dz/hoco-chargeur-mural-c80a-pd20w-qc3.0-avec-cable-type-c-vers-type-iphone-598937.html
jumia,"2,180 DA",no discount,Samsung Chargeur Samsung Super Fast Charging 25W Type C  ( Original ),4.6 out of 5,https://www.jumia.com.dz/chargeur-samsung-super-fast-charging-25w-type-c-samsung-mpg31497.html
jumia,"6,800 DA",no discount,Anker Balance Pèse Personne Digitale Intelligent P1 Black Eufy  Blanc,4.5 out of 5,https://www.jumia.com.dz/pese-personne-electrique-intelligent-p1-black-eufy-anker-mpg31908.html
jumia,"1,650 DA",no discount,Hoco Ew78  Ecouteurs Sans Fil Bluetooth 5.4 - Autonomie 4 heures - veille allant jusqu'à 150 heures,4.8 out of 5,https://www.jumia.com.dz/hoco-ew78-ecouteurs-sans-fil-bluetooth-5.4-autonomie-4-heures-veille-allant-jusqua-150-heures-608431.html
jumia,580 DA,no discount,Ldnio Support de téléphone de voiture -  MG03 - Noir,4.2 out of 5,https://www.jumia.com.dz/ldnio-support-de-telephone-de-voiture-mg03-noir-541071.html
jumia,850 DA,no discount,"P47M Casque sans filavec lumière clignotante et oreilles de chat mignonnes, avec contrôle du micro, casque de musique stéréo LED, casque Bluetooth pour téléphone, cadeau IRO",4.8 out of 5,https://www.jumia.com.dz/sans-marque-p47m-casque-sans-filavec-lumiere-clignotante-et-oreilles-de-chat-mignonnes-avec-controle-du-micro-casque-de-musique-stereo-led-casque-bluetooth-pour-telephone-cadeau-iro-608583.html
jumia,"1,650 DA",no discount,Hoco Ew76  Ecouteurs Sans Fil Bluetooth 5.4 utilisation de 4 heures pour une autonomie en veille de 150 heures.,4 out of 5,https://www.jumia.com.dz/hoco-ew76-ecouteurs-sans-fil-bluetooth-5.4-utilisation-de-4-heures-pour-une-autonomie-en-veille-de-150-heures.-608411.html
jumia,"3,700 DA",no discount,"Anker Soundcore  Life U2i  Ecouteurs Sans Fil Bluetooth Fitness  Casque tour de cou Bluetooth avec 22 heures de lecture, pilotes de 10 mm, appels cristallins avec CVC 8.0, chargement rapide USB-C, construction pliable et légère, étanchéité",4.3 out of 5,https://www.jumia.com.dz/ecouteur-bluetooth-fitness-anker-soundcore-life-u2i-noir-anker-mpg31410.html
jumia,"2,100 DA",no discount,Hoco EQ6 - Ecouteurs Sans Fil Bluetooth 5.3 - Affichage LED & 7H de Lecture Non-Stop -Bleu,4.5 out of 5,https://www.jumia.com.dz/hoco-eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-bleu-557886.html
jumia,"1,750 DA",no discount,Hoco EQ1 - Ecouteurs Sans Fil Bluetooth 5.3 - 7H de Lecture Continue - Original Blanc,4.3 out of 5,https://www.jumia.com.dz/eq1-ecouteurs-sans-fil-bluetooth-5.3-7h-de-lecture-continue-original-blanc-hoco-mpg32515.html
jumia,"1,800 DA",no discount,Hoco EW48 Écouteurs Sans Fil stéreo Bluetooth 5.3 + Case Forme De Chat TWS  Bleu,4.4 out of 5,https://www.jumia.com.dz/hoco-ew48-ecouteurs-sans-fil-stereo-bluetooth-5.3-case-forme-de-chat-tws-bleu-589801.html
jumia,900 DA,no discount,no name,no stars,https://www.jumia.com.dz/ecouteurs-sans-fil-livepods-lp40-pro-bluetooth-5.1-blanc-lenovo-mpg32513.html
jumia,"2,600 DA",no discount,no name,no stars,https://www.jumia.com.dz/w35-max-90h-dautonomie-casque-sans-fil-bluetooth-5.3-aux-tf-card-bt-hoco-mpg32568.html
jumia,"1,950 DA",no discount,no name,no stars,https://www.jumia.com.dz/generique-casque-ecouteurs-sans-fil-bluetooth-noir-514895.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/carte-memoire-ultra-microsdxc-uhs-i-128-gb-vitesse-100-mbs-sandisk-mpg31290.html
jumia,"1,750 DA",no discount,no name,no stars,https://www.jumia.com.dz/eq2-ecouteurs-sans-fil-bluetooth-5.3-7h-de-lecture-continue-original-blanc-hoco-mpg32582.html
jumia,"1,750 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-ew03-plus-ecouteurs-bluetooth-tws-basse-stereo-sans-fil-blanc-514682.html
jumia,580 DA,no discount,no name,no stars,https://www.jumia.com.dz/ldnio-support-de-telephone-de-voiture-mg03-noir-541071.html
jumia,130 DA,no discount,no name,no stars,https://www.jumia.com.dz/hoco-x89-wind-charging-data-cable-type-micro-charge-et-un-transfert-de-donnees-rapides-luna-568168.html
jumia,"3,700 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-power-bank-30000-mah-fast-charge-3.0-22.5-w-usb-type-c-j101b-noir-545861.html
jumia,"2,800 DA",no discount,no name,no stars,https://www.jumia.com.dz/j101a-batterie-externe-charge-rapide-22.5w-20000mah-blanc-hoco-mpg32498.html
jumia,"3,700 DA",no discount,no name,no stars,https://www.jumia.com.dz/ecouteur-bluetooth-fitness-anker-soundcore-life-u2i-noir-anker-mpg31410.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-violet-565188.html
jumia,"10,800 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-kr-pro-ltd-montre-connectee-pour-homme-ecran-amoled-colore-hd-surveillance-de-la-sante-24h-1.43-modes-de-sport-100-pouces-grise-537945.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-hoco-mpg32088.html
jumia,"2,100 DA",no discount,no name,no stars,https://www.jumia.com.dz/hoco-eq6-ecouteurs-sans-fil-bluetooth-5.3-affichage-led-7h-de-lecture-non-stop-bleu-557886.html
jumia,"21,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/galaxy-a04e-332gb-6.5-hd-pls-lcd-5000-mah-samsung-mpg31715.html
jumia,"23,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/xiaomi-redmi-a3x-6.7-128go-4ram-5000mah-aurora-green-589531.html
jumia,"23,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/xiaomi-redmi-a3x-6.7-128go-4ram-5000mah-midnight-black-589529.html
jumia,850 DA,no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-smart-watch-t800-ultra-montre-intelligente-connectee-pour-enfant-noir-515495.html
jumia,"10,800 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-kr-pro-ltd-montre-connectee-pour-homme-ecran-amoled-colore-hd-surveillance-de-la-sante-24h-1.43-modes-de-sport-100-pouces-grise-537945.html
jumia,"3,699 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-montre-intelligente-z7-477495.html
jumia,"2,500 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-ky11-fitness-tracker-montre-intelligente-470543.html
jumia,"3,700 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-montre-intelligente-z7-477496.html
jumia,"3,600 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-montre-intelligente-z7-477497.html
jumia,"5,900 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-ky11-fitness-tracker-montre-intelligente-461150.html
jumia,"3,499 DA",no discount,no name,no stars,https://www.jumia.com.dz/sans-marque-montre-intelligente-z7-477499.html
